time,open,high,low,close,EMA,Volume,K,D,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2025-09-01T01:10:00-05:00,107719.09,107950,107710.84,107930.65,107725.3543,5.78452367,NaN,NaN,59.85084884,54.4966833,NaN,NaN,NaN,NaN
2025-09-01T01:15:00-05:00,107930.64,107933.83,107791.61,107881.91,107744.9238,12.09867609,80.46439328,83.68575052,57.68553774,55.62756798,NaN,NaN,NaN,NaN
2025-09-01T01:20:00-05:00,107885.77,108041.52,107881.98,108040.46,107781.8658,3.79185917,NaN,NaN,62.44524581,57.01564097,NaN,NaN,NaN,NaN
2025-09-01T01:25:00-05:00,108039.25,108042.81,107931.16,107935.09,107801.0188,7.2307512,82.79913182,81.0624069,57.79260844,58.21314969,NaN,NaN,NaN,NaN
2025-09-01T01:30:00-05:00,107938.7,108000,107923.78,107965.52,107821.5815,6.99649902,NaN,NaN,58.74850129,58.41734471,NaN,NaN,NaN,NaN
2025-09-01T01:35:00-05:00,107965.52,108020.87,107923.17,108009.72,107845.0988,7.72684423,93.54459887,85.60270799,60.15988871,58.6359862,NaN,NaN,NaN,NaN
2025-09-01T01:40:00-05:00,108009.73,108119.44,108001.47,108096.91,107876.5752,11.10808008,NaN,NaN,62.85939635,59.11653095,NaN,NaN,NaN,NaN
2025-09-01T01:45:00-05:00,108093.97,108133.01,108004.52,108053.94,107898.7458,22.29143049,97.7692015,91.37097739,60.67730144,58.8795664,NaN,NaN,NaN,NaN
2025-09-01T01:50:00-05:00,108053.94,108093.75,108026.16,108073.86,107920.6351,12.04366976,NaN,NaN,61.34717576,58.76196108,NaN,NaN,NaN,NaN
2025-09-01T01:55:00-05:00,108072.16,108087.85,108046.09,108066.03,107938.8094,3.23950925,100,97.10460012,60.90795672,58.89589284,NaN,NaN,NaN,NaN
2025-09-01T02:00:00-05:00,108066.03,108175.65,108044.08,108146.27,107964.742,11.85387662,NaN,NaN,63.77056536,59.2063694,NaN,NaN,NaN,NaN
2025-09-01T02:05:00-05:00,108144.24,108144.24,107988.05,108058.06,107976.4068,6.22671111,99.54571951,99.10497367,58.68313477,59.1740389,NaN,NaN,NaN,NaN
2025-09-01T02:10:00-05:00,108058.06,108131.89,107996.67,108000.75,107979.4497,8.34098984,NaN,NaN,55.5807213,59.51444775,NaN,NaN,NaN,NaN
2025-09-01T02:15:00-05:00,108000.75,108285.12,107988.61,108260.57,108014.5897,12.67874432,99.54571951,99.69714634,64.69378469,60.37161909,NaN,NaN,NaN,NaN
2025-09-01T02:20:00-05:00,108262.71,108391,108236.68,108292.54,108049.3335,24.93788449,NaN,NaN,65.62822086,60.78428852,NaN,NaN,NaN,NaN
2025-09-01T02:25:00-05:00,108279.74,108450,108256.6,108441.38,108098.3393,12.17652217,99.54571951,99.54571951,69.65491419,61.63924398,NaN,NaN,NaN,NaN
2025-09-01T02:30:00-05:00,108440.97,108952.43,108434.09,108803.05,108186.4281,47.02157989,NaN,NaN,76.77493157,62.66279296,NaN,NaN,NaN,NaN
2025-09-01T02:35:00-05:00,108803.04,108819.54,108633.56,108645.2,108243.7746,15.80203551,100,99.69714634,69.14896098,63.473961,NaN,NaN,NaN,NaN
2025-09-01T02:40:00-05:00,108645.2,108836.27,108623.76,108824.34,108316.3453,30.87067223,NaN,NaN,72.48874757,64.45540716,NaN,NaN,NaN,NaN
2025-09-01T02:45:00-05:00,108824.34,109000,108824.34,108967.56,108397.7471,29.10265727,100,99.84857317,74.83434236,65.50358242,NaN,NaN,NaN,NaN
2025-09-01T02:50:00-05:00,108967.56,109304.05,108945.92,109234.51,108502.3425,52.40735513,NaN,NaN,78.51184284,66.62161432,NaN,NaN,NaN,NaN
2025-09-01T02:55:00-05:00,109222.71,109440.53,109218.94,109433.59,108618.7484,21.33772087,100,100,80.76884611,68.05672465,NaN,NaN,NaN,NaN
2025-09-01T03:00:00-05:00,109433.58,109815.07,109422.13,109691.91,108752.8936,67.59127893,NaN,NaN,83.23020949,69.61979849,NaN,NaN,NaN,NaN
2025-09-01T03:05:00-05:00,109693.03,109755.03,109531.2,109534.05,108850.5382,46.93681205,100,100,76.76431626,70.7523956,NaN,NaN,NaN,NaN
2025-09-01T03:10:00-05:00,109534.05,109628.43,109441.12,109513.36,108933.3909,36.67123937,NaN,NaN,75.93170218,71.62104823,NaN,NaN,NaN,NaN
2025-09-01T03:15:00-05:00,109512.49,109681.99,109414.26,109619.77,109019.1883,20.7230242,100,100,77.29565687,72.95051409,NaN,NaN,NaN,NaN
2025-09-01T03:20:00-05:00,109619.77,109734.88,109593.65,109622.81,109094.641,14.23051629,NaN,NaN,77.33517377,74.50440355,NaN,NaN,NaN,NaN
2025-09-01T03:25:00-05:00,109622.81,109622.81,109429.23,109429.67,109136.5196,8.7465621,91.33950361,97.11316787,69.10571735,74.8195416,NaN,NaN,NaN,NaN
2025-09-01T03:30:00-05:00,109429.67,109560,109429.67,109504.38,109182.5022,19.00867574,NaN,NaN,70.41709014,75.16160369,NaN,NaN,NaN,NaN
2025-09-01T03:35:00-05:00,109504.37,109540.92,109425.03,109491.6,109221.1394,7.7039581,83.06214362,91.46721575,69.87072859,75.17701901,NaN,NaN,NaN,NaN
2025-09-01T03:40:00-05:00,109491.59,109627.28,109476.86,109590.08,109267.257,20.9548477,NaN,NaN,71.69333394,74.81404775,NaN,NaN,NaN,NaN
2025-09-01T03:45:00-05:00,109590.08,109661.1,109533.57,109660.01,109316.3511,7.12060676,76.50517601,83.63560775,72.94489876,75.08518616,NaN,NaN,NaN,NaN
2025-09-01T03:50:00-05:00,109660.01,109698.73,109545.65,109553.25,109345.9635,5.7667042,NaN,NaN,68.0016359,74.76467818,NaN,NaN,NaN,NaN
2025-09-01T03:55:00-05:00,109553.25,109594.19,109513.15,109594.19,109376.9918,5.78173257,74.68070863,78.08267609,68.87276648,74.33885133,NaN,NaN,NaN,NaN
2025-09-01T04:00:00-05:00,109594.17,109689.27,109480.33,109673,109413.9928,23.45666543,NaN,NaN,70.5356815,73.76912552,NaN,NaN,NaN,NaN
2025-09-01T04:05:00-05:00,109672.97,109713.05,109592.84,109609.8,109438.4687,18.84677252,72.74114636,74.64234367,67.42489472,72.81598614,NaN,NaN,NaN,NaN
2025-09-01T04:10:00-05:00,109609.8,109814.1,109609.8,109814.1,109485.4226,31.82778737,NaN,NaN,71.76053995,71.99672403,NaN,NaN,NaN,NaN
2025-09-01T04:15:00-05:00,109810.12,109815.06,109701.48,109727.11,109515.6335,13.88108059,71.09050591,72.83745363,67.63281257,71.34447377,NaN,NaN,NaN,NaN
2025-09-01T04:20:00-05:00,109721.99,109753.93,109671.25,109695.44,109538.1093,10.52659371,NaN,NaN,66.14118402,70.64515104,NaN,NaN,NaN,NaN
2025-09-01T04:25:00-05:00,109695.44,109750.41,109650,109715.9,109560.3332,7.0929218,69.94156834,71.2577402,66.6528705,69.88495201,NaN,NaN,NaN,NaN
2025-09-01T04:30:00-05:00,109715.89,109907.51,109715.89,109842.99,109595.6653,25.28417349,NaN,NaN,69.71453026,69.34062033,NaN,NaN,NaN,NaN
2025-09-01T04:35:00-05:00,109843.38,109865.11,109580.26,109676.48,109605.7671,8.37591448,60.94160813,67.32456079,61.7192656,68.81301664,NaN,NaN,NaN,NaN
2025-09-01T04:40:00-05:00,109676.47,109816.52,109664.35,109816.51,109632.11,8.76553082,NaN,NaN,65.32122444,68.44902623,NaN,NaN,NaN,NaN
2025-09-01T04:45:00-05:00,109816.52,109841.05,109672.1,109692.62,109639.6737,10.46059475,43.8623284,58.24850162,59.94688658,67.74018037,NaN,NaN,NaN,NaN
2025-09-01T04:50:00-05:00,109692.62,109731.11,109560,109600.37,109634.7608,13.83435418,NaN,NaN,56.23662362,66.63612963,NaN,NaN,NaN,NaN
2025-09-01T04:55:00-05:00,109600.37,109631.49,109478.08,109517.74,109620.1332,14.41159256,22.16289642,42.32227765,53.06830165,65.2163727,NaN,NaN,NaN,NaN
2025-09-01T05:00:00-05:00,109517.93,109539.21,109273.12,109358.2,109587.3915,13.8560887,NaN,NaN,47.50347122,63.75221808,NaN,NaN,NaN,NaN
2025-09-01T05:05:00-05:00,109360.79,109436.67,109235.64,109313.43,109553.1463,16.52297464,8.046445538,24.69055678,46.04433727,62.12161599,NaN,NaN,NaN,NaN
2025-09-01T05:10:00-05:00,109313.55,109338.05,109189.9,109210.97,109510.3743,17.96133504,NaN,NaN,42.80388974,60.14077372,NaN,NaN,NaN,NaN
2025-09-01T05:15:00-05:00,109210.97,109268.84,109121.77,109131.77,109463.0488,11.6502893,3.55E-15,10.06978065,40.43501607,58.21292525,NaN,NaN,NaN,NaN
2025-09-01T05:20:00-05:00,109132.36,109137.1,108974.36,109023.14,109408.0602,20.73549018,NaN,NaN,37.37939033,55.75712885,NaN,NaN,NaN,NaN
2025-09-01T05:25:00-05:00,109023.13,109071.95,108832.92,108862.81,109339.9039,38.31281613,3.55E-15,2.682148513,33.37107044,53.30986155,NaN,NaN,NaN,NaN
2025-09-01T05:30:00-05:00,108862.81,108873,108412.48,108540.16,109239.9359,45.34587769,NaN,NaN,27.07816801,50.51964612,NaN,NaN,NaN,NaN
2025-09-01T05:35:00-05:00,108540.16,108630.67,108193.65,108194.9,109109.3064,35.68247377,3.55E-15,2.07E-14,22.24426254,47.3476027,NaN,NaN,NaN,NaN
2025-09-01T05:40:00-05:00,108194.9,108414.6,108160.81,108334.93,109012.5094,14.43031016,NaN,NaN,27.86849634,44.35860027,NaN,NaN,NaN,NaN
2025-09-01T05:45:00-05:00,108334.92,108411.83,108209.65,108332.59,108927.5194,6.63124608,2.7979651,0.932655033,27.83226713,41.93810038,NaN,NaN,NaN,NaN
2025-09-01T05:50:00-05:00,108328.24,108480.86,108324.39,108479.41,108871.5058,10.11310274,NaN,NaN,33.65969529,39.67656259,NaN,NaN,NaN,NaN
2025-09-01T05:55:00-05:00,108479.34,108568.09,108432.57,108564.25,108833.0988,4.27476372,9.91486495,4.237610017,36.83378254,38.02562658,NaN,NaN,NaN,NaN
2025-09-01T06:00:00-05:00,108562.81,108609.54,108440.74,108609.54,108805.1539,6.66390238,NaN,NaN,38.5247227,36.7604908,NaN,NaN,NaN,NaN
2025-09-01T06:05:00-05:00,108609.54,108722.37,108588.83,108640.25,108784.541,6.63321219,18.55241363,10.42174789,39.70340919,35.80585563,NaN,NaN,NaN,NaN
2025-09-01T06:10:00-05:00,108640.25,108640.26,108567.79,108591.29,108760.3846,5.3913171,NaN,NaN,38.43807367,35.15832723,NaN,NaN,NaN,NaN
2025-09-01T06:15:00-05:00,108588.27,108722.24,108528.9,108590.52,108739.1515,6.32496302,23.66074536,17.37600798,38.41733699,34.6135415,NaN,NaN,NaN,NaN
2025-09-01T06:20:00-05:00,108590.52,108695.3,108571.55,108620.96,108724.3776,8.08357382,NaN,NaN,39.79998847,34.39897712,NaN,NaN,NaN,NaN
2025-09-01T06:25:00-05:00,108620.96,108678.63,108578.91,108670.88,108717.6904,5.66919248,26.00055188,22.73790362,42.09601714,34.51762005,NaN,NaN,NaN,NaN
2025-09-01T06:30:00-05:00,108668.6,108691.89,108542.67,108654.43,108709.7828,10.02019247,NaN,NaN,41.53385833,34.81436777,NaN,NaN,NaN,NaN
2025-09-01T06:35:00-05:00,108654.43,108684.63,108543.4,108590.41,108694.8612,9.5041546,25.61365634,25.09165119,39.33243629,35.24017961,NaN,NaN,NaN,NaN
2025-09-01T06:40:00-05:00,108590.41,108635.5,108482.54,108501.11,108670.6423,5.07424283,NaN,NaN,36.43174521,35.90829227,NaN,NaN,NaN,NaN
2025-09-01T06:45:00-05:00,108501.12,108729.72,108501.12,108707.28,108675.222,6.63439414,28.74826677,26.78749166,46.28164923,37.62524846,NaN,NaN,NaN,NaN
2025-09-01T06:50:00-05:00,108707.28,108786.51,108656.04,108781.67,108688.528,6.27073777,NaN,NaN,49.33232768,39.15837927,NaN,NaN,NaN,NaN
2025-09-01T06:55:00-05:00,108781.67,108852.92,108744.39,108772.9,108699.0745,10.48317463,31.69467467,28.68553259,48.97918111,40.66887313,NaN,NaN,NaN,NaN
2025-09-01T07:00:00-05:00,108772.89,108811.61,108624.53,108679.19,108696.589,6.65446417,NaN,NaN,45.25159001,41.49686561,NaN,NaN,NaN,NaN
2025-09-01T07:05:00-05:00,108679.18,108917.07,108679.18,108911.17,108723.4116,7.18714596,42.33248951,34.25847698,54.48603338,42.75774067,NaN,NaN,NaN,NaN
2025-09-01T07:10:00-05:00,108911.17,108934,108819.99,108900,108745.4851,9.24947296,NaN,NaN,54.01361178,43.86408989,NaN,NaN,NaN,NaN
2025-09-01T07:15:00-05:00,108899.99,108934.71,108834.78,108877.78,108762.022,9.0961222,54.93054002,42.9859014,53.02862482,44.81589101,NaN,NaN,NaN,NaN
2025-09-01T07:20:00-05:00,108877.78,108988.02,108766.08,108988,108790.2692,30.38782542,NaN,NaN,57.19818707,46.15589911,NaN,NaN,NaN,NaN
2025-09-01T07:25:00-05:00,108988,108998.64,108934.01,108937.45,108808.6668,10.69869298,75.86075909,57.70792954,54.79576336,47.32578671,NaN,NaN,NaN,NaN
2025-09-01T07:30:00-05:00,108937.46,109015.8,108888.1,108999.46,108832.516,6.97200532,NaN,NaN,57.17215916,48.56665604,NaN,NaN,NaN,NaN
2025-09-01T07:35:00-05:00,108996.55,109159.4,108994.09,109126.82,108869.304,11.81051593,90.30562444,73.69897452,61.63333819,49.96217897,NaN,NaN,NaN,NaN
2025-09-01T07:40:00-05:00,109126.83,109127.14,108915.49,108957.44,108880.321,12.82914023,NaN,NaN,53.63202246,50.82633355,NaN,NaN,NaN,NaN
2025-09-01T07:45:00-05:00,108957.44,109088.46,108923.41,109034.52,108899.5959,5.53716726,96.07274955,87.41304436,56.40560222,52.04584541,NaN,NaN,NaN,NaN
2025-09-01T07:50:00-05:00,109034.53,109073.51,108926.01,109003.47,108912.5801,9.44746,NaN,NaN,54.97893267,53.37064451,NaN,NaN,NaN,NaN
2025-09-01T07:55:00-05:00,109009.95,109123.19,109009.95,109102.08,108936.2676,7.35001624,94.15258629,93.51032009,58.56343553,54.24791496,NaN,NaN,NaN,NaN
2025-09-01T08:00:00-05:00,109117.36,109210.82,109049.09,109133.16,108960.8792,8.12997831,NaN,NaN,59.65377268,54.98516103,NaN,NaN,NaN,NaN
2025-09-01T08:05:00-05:00,109132.67,109292.04,109121.58,109221.59,108993.468,11.34925719,94.15258629,94.79264071,62.66405685,55.96265216,NaN,NaN,NaN,NaN
2025-09-01T08:10:00-05:00,109221.59,109221.59,109075.97,109196.51,109018.8483,6.55894209,NaN,NaN,61.26784991,57.10667072,NaN,NaN,NaN,NaN
2025-09-01T08:15:00-05:00,109196.51,109342.78,109085.9,109324.88,109057.1022,18.94289569,98.07983674,95.46166978,65.50442898,57.89369898,NaN,NaN,NaN,NaN
